NOME,PRATO,DESCRICAO,ENDERECO,TELEFONE,IMG_URL
Bar Estabelecimento,Tipracas,"Pelotas de rabada com angu de agrião em molho de tomate com cebola e tipracas (tipo bolachas feitas com arroz, feijão roxinho, queijo e especiarias.)","Rua Monte Alegre, 160 | Serra, Belo Horizonte – MG",31983921059,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/07104420/barestabelecimento_tipracas_bh_2025_rodneycosta_unibh-8153-scaled.jpg
Bar Junto Juntinho,Poliamor Culinário,"Costelinha de porco combinada com um purê de mandioca feito com manteiga de garrafa e queijo parmesão, acompanhado de couve crispy e geleia de abacaxi apimentada.","Rua Cura D’Ars, 542 | Prado, Belo Horizonte – MG",31988068530,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/10075811/barjuntojuntinho_poliamorculinario_bh_2025_rodneycosta_unibh-1725-1-1-scaled.jpg
Bar Mania Mineira,Explosão de Sabor,Bolinho de mandioca recheado com queijo.,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte – MG",31985126504,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-scaled.jpg
Bar Pompéu,É mas num é,"Iscas de filé de frango empanadas nos flocos de arroz, regado ao molho de alho-poró e cream cheese. Acompanha batata frita canoa e molho agridoce de goiabada.","Rua São Miguel, 779 | Itapoã, Belo Horizonte – MG",3136653506,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050703/pompeu_emasnume_bh_2025_rodneycosta_unibh-8144-scaled.jpg
Bar Stella,Boi bebum,"Maçã de peito ao molho de vinho, acompanhada de farofa d’água e mandioca na manteiga de garrafa.","Avenida Saramenha, 1599 | Guarani, Belo Horizonte – MG",3134333755,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150007/barstella_boibebum_bh_2025_amandacantanhede_unibh-7586-scaled.jpg
Bar Temático Sta. Teresa,#CDB – 25 anos de sucesso – Arrumado,"Carne de sol, feijão-de-corda, farofa e vinagrete e manteiga de garrafa.","Rua Pirite, 187 | Santa Teresa, Belo Horizonte – MG",3134814646,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg
Barrigudinha Buteco,Bodas no prato: Rib ao molho Rubi,Costelinha de porco ao molho rubi.,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte – MG","(31) 3443-1156
(31) 99839-8899",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050518/barrigudinha_bodasaopradoribaomolhorubi_bh_2025_rodneycosta_unibh-8195-scaled.jpg
Barzim dos amigos,Porpeta de Buteco,Almôndegas ao sugo com batata recheada.,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte – MG",31998561240,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150257/bardosamigos_porpetadebuteco_bh_2025_isaquerodrigues_unibh-7775-scaled.jpg
Bazin Bar,Bodas de Prata,Carne de panela acompanhada de angu e ora-pro-nóbis.,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte – MG",31972171020,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150411/bazim_bodasdeprata_bh_2025_rodneycosta_unibh-8388-scaled.jpg
Beco Restaurante,Lá di Casa,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve.","Rua Tamoios, 232 | Centro, Belo Horizonte – MG",3132721489,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19150511/becorestaurante_ladicasa_bh_2025_fernandaoliveira_unibh-8137-scaled.jpg
